Bulbasaur,45,49,49,65,65,45,0,0,0,1,0,0,1,None
Ivysaur,60,62,63,80,80,60,0,0,0,1,1,0,2,Bulbasaur
Venusaur,80,82,83,100,100,80,0,0,0,2,1,0,3,Ivysaur
Charmander,39,52,43,60,50,65,0,0,0,0,0,1,1,None
Charmeleon,58,64,58,80,65,80,0,0,0,1,0,1,2,Charmander
Charizard,78,84,78,109,85,100,0,0,0,3,0,0,3,Charmeleon
Squirtle,44,48,65,50,64,43,0,0,1,0,0,0,1,None
Wartortle,59,63,80,65,80,58,0,0,1,0,1,0,2,Squirtle
Blastoise,79,83,100,85,105,78,0,0,0,0,3,0,3,Wartortle
Caterpie,45,30,35,20,20,45,1,0,0,0,0,0,1,None
Metapod,50,20,55,25,25,30,0,0,2,0,0,0,2,Caterpie
Butterfree,60,45,50,90,80,70,0,0,0,2,1,0,3,Metapod
Weedle,40,35,30,20,20,50,0,0,0,0,0,1,1,None
Kakuna,45,25,50,25,25,35,0,0,2,0,0,0,2,Weedle
Beedrill,65,90,40,45,80,75,0,2,0,0,1,0,3,Kakuna
Pidgey,40,45,40,35,35,56,0,0,0,0,0,1,1,None
Pidgeotto,63,60,55,50,50,71,0,0,0,0,0,2,2,Pidgey
Pidgeot,83,80,75,70,70,91,0,0,0,0,0,3,3,Pidgeotto
Rattata,30,56,35,25,35,72,0,0,0,0,0,1,1,None
Raticate,55,81,60,50,70,97,0,0,0,0,0,2,2,Rattata
Spearow,40,60,30,31,31,70,0,0,0,0,0,1,1,None
Fearow,65,90,65,61,61,100,0,0,0,0,0,2,2,Spearow
Ekans,35,60,44,40,54,55,0,1,0,0,0,0,1,None
Arbok,60,85,69,65,79,80,0,2,0,0,0,0,2,Ekans
Pikachu,35,55,40,50,50,90,0,0,0,0,0,2,2,Pichu
Raichu,60,90,55,90,80,110,0,0,0,0,0,3,3,Pikachu
Sandshrew,50,75,85,20,30,40,0,0,1,0,0,0,1,None
Sandslash,75,100,110,45,55,65,0,0,2,0,0,0,2,Sandshrew
Nidoran Female,55,47,52,40,40,41,1,0,0,0,0,0,1,None
Nidorina,70,62,67,55,55,56,2,0,0,0,0,0,2,Nidoran Female
Nidoqueen,90,92,87,75,85,76,3,0,0,0,0,0,3,Nidorina
Nidoran Male,46,57,40,40,40,50,0,1,0,0,0,0,1,None
Nidorino,61,72,57,55,55,65,0,2,0,0,0,0,2,Nidoran Male
Nidoking,81,102,77,85,75,85,0,3,0,0,0,0,3,Nidorino
Clefairy,70,45,48,60,65,35,2,0,0,0,0,0,2,Cleffa
Clefable,95,70,73,95,90,60,3,0,0,0,0,0,3,Clefairy
Vulpix,38,41,40,50,65,65,0,0,0,0,0,1,1,None
Ninetales,73,76,75,81,100,100,0,0,0,0,1,1,2,Vulpix
Jigglypuff,115,45,20,45,25,20,2,0,0,0,0,0,2,Igglybuff
Wigglytuff,140,70,45,85,50,45,3,0,0,0,0,0,3,Jigglypuff
Zubat,40,45,35,30,40,55,0,0,0,0,0,1,1,None
Golbat,75,80,70,65,75,90,0,0,0,0,0,2,2,Zubat
Oddish,45,50,55,75,65,30,0,0,0,1,0,0,1,None
Gloom,60,65,70,85,75,40,0,0,0,2,0,0,2,Oddish
Vileplume,75,80,85,110,90,50,0,0,0,3,0,0,3,Gloom
Paras,35,70,55,45,55,25,0,1,0,0,0,0,1,None
Parasect,60,95,80,60,80,30,0,2,1,0,0,0,2,Paras
Venonat,60,55,50,40,55,45,0,0,0,0,1,0,1,None
Venomoth,70,65,60,90,75,90,0,0,0,1,0,1,2,Venonat
Diglett,10,55,25,35,45,95,0,0,0,0,0,1,1,None
Dugtrio,35,80,50,50,70,120,0,0,0,0,0,2,2,Diglett
Meowth,40,45,35,40,40,90,0,0,0,0,0,1,1,None
Persian,65,70,60,65,65,115,0,0,0,0,0,2,2,Meowth
Psyduck,50,52,48,65,50,55,0,0,0,1,0,0,1,None
Golduck,80,82,78,95,80,85,0,0,0,2,0,0,2,Psyduck
Mankey,40,80,35,35,45,70,0,1,0,0,0,0,1,None
Primeape,65,105,60,60,70,95,0,2,0,0,0,0,2,Mankey
Growlithe,55,70,45,70,50,60,0,1,0,0,0,0,1,None
